28н это ударный боева вертолет новое поколение . его производство занимаюсь оао роствертол . ми 28н оснащен комплекс бортовой радиоэлектронный оборудование , обеспечивающий выполнение полёт ночь в сложный метеоусловия , поиск , обнаружение и распознавание наземный и воздушный целее , определение их координата и выдача целеуказание на наземный и воздушный командный пункт . ми 28н являюсь единственный в мир вертолетом , способный в автоматический режим осуществлять полю на высота от 5 метр с огибание рельеф местность как днем , так и ночь . новый боева вертолет способен развивать скорость до 300 км/ч и подкрадываться к противник на высота весь 5 10 метр , отличаюсь минимальный заметность для наземный средство поражение . в состав вооружение ми 28н вхожу сверхзвуковой высокоточный управляемый ракета атака , который поражаю танк с динамический защита бронь , а также воздушный целю и сверхзвуковой управляемый ракета игла класс воздух воздух . также вертолет снабжен пушечный установка нппу 28н калибр 30 мм . кабина экипаж полностью бронирован и выдерживаю прямой попадание бронебоен зажигательный пуля калибр 12 , 7 мм , и снаряд калибр 20 мм . как сообщаюсь ранее , планируюсь , что в чащу армейский авиация :  count:2  textCnt:2
его производство занимаюсь оао роствертол . ми 28н оснащен комплекс бортовой радиоэлектронный оборудование , обеспечивающий выполнение полёт ночь в сложный метеоусловия , поиск , обнаружение и распознавание наземный и воздушный целее , определение их координата и выдача целеуказание на наземный и воздушный командный пункт . ми 28н являюсь единственный в мир вертолетом , способный в автоматический режим осуществлять полю на высота от 5 метр с огибание рельеф местность как днем , так и ночь . новый боева вертолет способен развивать скорость до 300 км/ч и подкрадываться к противник на высота весь 5 10 метр , отличаюсь минимальный заметность для наземный средство поражение . в состав вооружение ми 28н вхожу сверхзвуковой высокоточный управляемый ракета атака , который поражаю танк с динамический защита бронь , а также воздушный целю и сверхзвуковой управляемый ракета игла класс воздух воздух . также вертолет снабжен пушечный установка нппу 28н калибр 30 мм . кабина экипаж полностью бронирован и выдерживаю прямой попадание бронебоен зажигательный пуля калибр 12 , 7 мм , и снаряд калибр 20 мм . как сообщаюсь ранее , планируюсь , что в чащу армейский авиация ввс до 2010 год поступил около 50 ночное :  count:2  textCnt:2
поколение . его производство занимаюсь оао роствертол . ми 28н оснащен комплекс бортовой радиоэлектронный оборудование , обеспечивающий выполнение полёт ночь в сложный метеоусловия , поиск , обнаружение и распознавание наземный и воздушный целее , определение их координата и выдача целеуказание на наземный и воздушный командный пункт . ми 28н являюсь единственный в мир вертолетом , способный в автоматический режим осуществлять полю на высота от 5 метр с огибание рельеф местность как днем , так и ночь . новый боева вертолет способен развивать скорость до 300 км/ч и подкрадываться к противник на высота весь 5 10 метр , отличаюсь минимальный заметность для наземный средство поражение . в состав вооружение ми 28н вхожу сверхзвуковой высокоточный управляемый ракета атака , который поражаю танк с динамический защита бронь , а также воздушный целю и сверхзвуковой управляемый ракета игла класс воздух воздух . также вертолет снабжен пушечный установка нппу 28н калибр 30 мм . кабина экипаж полностью бронирован и выдерживаю прямой попадание бронебоен зажигательный пуля калибр 12 , 7 мм , и снаряд калибр 20 мм . как сообщаюсь ранее , планируюсь , что в чащу армейский авиация ввс до 2010 год поступил около :  count:2  textCnt:2
ми 28н это ударный боева вертолет новое поколение . его производство занимаюсь оао роствертол . ми 28н оснащен комплекс бортовой радиоэлектронный оборудование , обеспечивающий выполнение полёт ночь в сложный метеоусловия , поиск , обнаружение и распознавание наземный и воздушный целее , определение их координата и выдача целеуказание на наземный и воздушный командный пункт . ми 28н являюсь единственный в мир вертолетом , способный в автоматический режим осуществлять полю на высота от 5 метр с огибание рельеф местность как днем , так и ночь . новый боева вертолет способен развивать скорость до 300 км/ч и подкрадываться к противник на высота весь 5 10 метр , отличаюсь минимальный заметность для наземный средство поражение . в состав вооружение ми 28н вхожу сверхзвуковой высокоточный управляемый ракета атака , который поражаю танк с динамический защита бронь , а также воздушный целю и сверхзвуковой управляемый ракета игла класс воздух воздух . также вертолет снабжен пушечный установка нппу 28н калибр 30 мм . кабина экипаж полностью бронирован и выдерживаю прямой попадание бронебоен зажигательный пуля калибр 12 , 7 мм , и снаряд калибр 20 мм . как сообщаюсь ранее , планируюсь , что в чащу армейский :  count:2  textCnt:2
занимаюсь оао роствертол . ми 28н оснащен комплекс бортовой радиоэлектронный оборудование , обеспечивающий выполнение полёт ночь в сложный метеоусловия , поиск , обнаружение и распознавание наземный и воздушный целее , определение их координата и выдача целеуказание на наземный и воздушный командный пункт . ми 28н являюсь единственный в мир вертолетом , способный в автоматический режим осуществлять полю на высота от 5 метр с огибание рельеф местность как днем , так и ночь . новый боева вертолет способен развивать скорость до 300 км/ч и подкрадываться к противник на высота весь 5 10 метр , отличаюсь минимальный заметность для наземный средство поражение . в состав вооружение ми 28н вхожу сверхзвуковой высокоточный управляемый ракета атака , который поражаю танк с динамический защита бронь , а также воздушный целю и сверхзвуковой управляемый ракета игла класс воздух воздух . также вертолет снабжен пушечный установка нппу 28н калибр 30 мм . кабина экипаж полностью бронирован и выдерживаю прямой попадание бронебоен зажигательный пуля калибр 12 , 7 мм , и снаряд калибр 20 мм . как сообщаюсь ранее , планируюсь , что в чащу армейский авиация ввс до 2010 год поступил около 50 ночное всепогодный вертолетов :  count:2  textCnt:2
. ми 28н это ударный боева вертолет новое поколение . его производство занимаюсь оао роствертол . ми 28н оснащен комплекс бортовой радиоэлектронный оборудование , обеспечивающий выполнение полёт ночь в сложный метеоусловия , поиск , обнаружение и распознавание наземный и воздушный целее , определение их координата и выдача целеуказание на наземный и воздушный командный пункт . ми 28н являюсь единственный в мир вертолетом , способный в автоматический режим осуществлять полю на высота от 5 метр с огибание рельеф местность как днем , так и ночь . новый боева вертолет способен развивать скорость до 300 км/ч и подкрадываться к противник на высота весь 5 10 метр , отличаюсь минимальный заметность для наземный средство поражение . в состав вооружение ми 28н вхожу сверхзвуковой высокоточный управляемый ракета атака , который поражаю танк с динамический защита бронь , а также воздушный целю и сверхзвуковой управляемый ракета игла класс воздух воздух . также вертолет снабжен пушечный установка нппу 28н калибр 30 мм . кабина экипаж полностью бронирован и выдерживаю прямой попадание бронебоен зажигательный пуля калибр 12 , 7 мм , и снаряд калибр 20 мм . как сообщаюсь ранее , планируюсь , что в чащу :  count:2  textCnt:2
новое поколение . его производство занимаюсь оао роствертол . ми 28н оснащен комплекс бортовой радиоэлектронный оборудование , обеспечивающий выполнение полёт ночь в сложный метеоусловия , поиск , обнаружение и распознавание наземный и воздушный целее , определение их координата и выдача целеуказание на наземный и воздушный командный пункт . ми 28н являюсь единственный в мир вертолетом , способный в автоматический режим осуществлять полю на высота от 5 метр с огибание рельеф местность как днем , так и ночь . новый боева вертолет способен развивать скорость до 300 км/ч и подкрадываться к противник на высота весь 5 10 метр , отличаюсь минимальный заметность для наземный средство поражение . в состав вооружение ми 28н вхожу сверхзвуковой высокоточный управляемый ракета атака , который поражаю танк с динамический защита бронь , а также воздушный целю и сверхзвуковой управляемый ракета игла класс воздух воздух . также вертолет снабжен пушечный установка нппу 28н калибр 30 мм . кабина экипаж полностью бронирован и выдерживаю прямой попадание бронебоен зажигательный пуля калибр 12 , 7 мм , и снаряд калибр 20 мм . как сообщаюсь ранее , планируюсь , что в чащу армейский авиация ввс до 2010 год поступил :  count:2  textCnt:2
вертолет новое поколение . его производство занимаюсь оао роствертол . ми 28н оснащен комплекс бортовой радиоэлектронный оборудование , обеспечивающий выполнение полёт ночь в сложный метеоусловия , поиск , обнаружение и распознавание наземный и воздушный целее , определение их координата и выдача целеуказание на наземный и воздушный командный пункт . ми 28н являюсь единственный в мир вертолетом , способный в автоматический режим осуществлять полю на высота от 5 метр с огибание рельеф местность как днем , так и ночь . новый боева вертолет способен развивать скорость до 300 км/ч и подкрадываться к противник на высота весь 5 10 метр , отличаюсь минимальный заметность для наземный средство поражение . в состав вооружение ми 28н вхожу сверхзвуковой высокоточный управляемый ракета атака , который поражаю танк с динамический защита бронь , а также воздушный целю и сверхзвуковой управляемый ракета игла класс воздух воздух . также вертолет снабжен пушечный установка нппу 28н калибр 30 мм . кабина экипаж полностью бронирован и выдерживаю прямой попадание бронебоен зажигательный пуля калибр 12 , 7 мм , и снаряд калибр 20 мм . как сообщаюсь ранее , планируюсь , что в чащу армейский авиация ввс до 2010 год :  count:2  textCnt:2
роствертол . ми 28н оснащен комплекс бортовой радиоэлектронный оборудование , обеспечивающий выполнение полёт ночь в сложный метеоусловия , поиск , обнаружение и распознавание наземный и воздушный целее , определение их координата и выдача целеуказание на наземный и воздушный командный пункт . ми 28н являюсь единственный в мир вертолетом , способный в автоматический режим осуществлять полю на высота от 5 метр с огибание рельеф местность как днем , так и ночь . новый боева вертолет способен развивать скорость до 300 км/ч и подкрадываться к противник на высота весь 5 10 метр , отличаюсь минимальный заметность для наземный средство поражение . в состав вооружение ми 28н вхожу сверхзвуковой высокоточный управляемый ракета атака , который поражаю танк с динамический защита бронь , а также воздушный целю и сверхзвуковой управляемый ракета игла класс воздух воздух . также вертолет снабжен пушечный установка нппу 28н калибр 30 мм . кабина экипаж полностью бронирован и выдерживаю прямой попадание бронебоен зажигательный пуля калибр 12 , 7 мм , и снаряд калибр 20 мм . как сообщаюсь ранее , планируюсь , что в чащу армейский авиация ввс до 2010 год поступил около 50 ночное всепогодный вертолетов ми 28н :  count:2  textCnt:2
это ударный боева вертолет новое поколение . его производство занимаюсь оао роствертол . ми 28н оснащен комплекс бортовой радиоэлектронный оборудование , обеспечивающий выполнение полёт ночь в сложный метеоусловия , поиск , обнаружение и распознавание наземный и воздушный целее , определение их координата и выдача целеуказание на наземный и воздушный командный пункт . ми 28н являюсь единственный в мир вертолетом , способный в автоматический режим осуществлять полю на высота от 5 метр с огибание рельеф местность как днем , так и ночь . новый боева вертолет способен развивать скорость до 300 км/ч и подкрадываться к противник на высота весь 5 10 метр , отличаюсь минимальный заметность для наземный средство поражение . в состав вооружение ми 28н вхожу сверхзвуковой высокоточный управляемый ракета атака , который поражаю танк с динамический защита бронь , а также воздушный целю и сверхзвуковой управляемый ракета игла класс воздух воздух . также вертолет снабжен пушечный установка нппу 28н калибр 30 мм . кабина экипаж полностью бронирован и выдерживаю прямой попадание бронебоен зажигательный пуля калибр 12 , 7 мм , и снаряд калибр 20 мм . как сообщаюсь ранее , планируюсь , что в чащу армейский авиация ввс :  count:2  textCnt:2
. ми 28н оснащен комплекс бортовой радиоэлектронный оборудование , обеспечивающий выполнение полёт ночь в сложный метеоусловия , поиск , обнаружение и распознавание наземный и воздушный целее , определение их координата и выдача целеуказание на наземный и воздушный командный пункт . ми 28н являюсь единственный в мир вертолетом , способный в автоматический режим осуществлять полю на высота от 5 метр с огибание рельеф местность как днем , так и ночь . новый боева вертолет способен развивать скорость до 300 км/ч и подкрадываться к противник на высота весь 5 10 метр , отличаюсь минимальный заметность для наземный средство поражение . в состав вооружение ми 28н вхожу сверхзвуковой высокоточный управляемый ракета атака , который поражаю танк с динамический защита бронь , а также воздушный целю и сверхзвуковой управляемый ракета игла класс воздух воздух . также вертолет снабжен пушечный установка нппу 28н калибр 30 мм . кабина экипаж полностью бронирован и выдерживаю прямой попадание бронебоен зажигательный пуля калибр 12 , 7 мм , и снаряд калибр 20 мм . как сообщаюсь ранее , планируюсь , что в чащу армейский авиация ввс до 2010 год поступил около 50 ночное всепогодный вертолетов ми 28н . :  count:2  textCnt:2
ударный боева вертолет новое поколение . его производство занимаюсь оао роствертол . ми 28н оснащен комплекс бортовой радиоэлектронный оборудование , обеспечивающий выполнение полёт ночь в сложный метеоусловия , поиск , обнаружение и распознавание наземный и воздушный целее , определение их координата и выдача целеуказание на наземный и воздушный командный пункт . ми 28н являюсь единственный в мир вертолетом , способный в автоматический режим осуществлять полю на высота от 5 метр с огибание рельеф местность как днем , так и ночь . новый боева вертолет способен развивать скорость до 300 км/ч и подкрадываться к противник на высота весь 5 10 метр , отличаюсь минимальный заметность для наземный средство поражение . в состав вооружение ми 28н вхожу сверхзвуковой высокоточный управляемый ракета атака , который поражаю танк с динамический защита бронь , а также воздушный целю и сверхзвуковой управляемый ракета игла класс воздух воздух . также вертолет снабжен пушечный установка нппу 28н калибр 30 мм . кабина экипаж полностью бронирован и выдерживаю прямой попадание бронебоен зажигательный пуля калибр 12 , 7 мм , и снаряд калибр 20 мм . как сообщаюсь ранее , планируюсь , что в чащу армейский авиация ввс до :  count:2  textCnt:2
производство занимаюсь оао роствертол . ми 28н оснащен комплекс бортовой радиоэлектронный оборудование , обеспечивающий выполнение полёт ночь в сложный метеоусловия , поиск , обнаружение и распознавание наземный и воздушный целее , определение их координата и выдача целеуказание на наземный и воздушный командный пункт . ми 28н являюсь единственный в мир вертолетом , способный в автоматический режим осуществлять полю на высота от 5 метр с огибание рельеф местность как днем , так и ночь . новый боева вертолет способен развивать скорость до 300 км/ч и подкрадываться к противник на высота весь 5 10 метр , отличаюсь минимальный заметность для наземный средство поражение . в состав вооружение ми 28н вхожу сверхзвуковой высокоточный управляемый ракета атака , который поражаю танк с динамический защита бронь , а также воздушный целю и сверхзвуковой управляемый ракета игла класс воздух воздух . также вертолет снабжен пушечный установка нппу 28н калибр 30 мм . кабина экипаж полностью бронирован и выдерживаю прямой попадание бронебоен зажигательный пуля калибр 12 , 7 мм , и снаряд калибр 20 мм . как сообщаюсь ранее , планируюсь , что в чащу армейский авиация ввс до 2010 год поступил около 50 ночное всепогодный :  count:2  textCnt:2
боева вертолет новое поколение . его производство занимаюсь оао роствертол . ми 28н оснащен комплекс бортовой радиоэлектронный оборудование , обеспечивающий выполнение полёт ночь в сложный метеоусловия , поиск , обнаружение и распознавание наземный и воздушный целее , определение их координата и выдача целеуказание на наземный и воздушный командный пункт . ми 28н являюсь единственный в мир вертолетом , способный в автоматический режим осуществлять полю на высота от 5 метр с огибание рельеф местность как днем , так и ночь . новый боева вертолет способен развивать скорость до 300 км/ч и подкрадываться к противник на высота весь 5 10 метр , отличаюсь минимальный заметность для наземный средство поражение . в состав вооружение ми 28н вхожу сверхзвуковой высокоточный управляемый ракета атака , который поражаю танк с динамический защита бронь , а также воздушный целю и сверхзвуковой управляемый ракета игла класс воздух воздух . также вертолет снабжен пушечный установка нппу 28н калибр 30 мм . кабина экипаж полностью бронирован и выдерживаю прямой попадание бронебоен зажигательный пуля калибр 12 , 7 мм , и снаряд калибр 20 мм . как сообщаюсь ранее , планируюсь , что в чащу армейский авиация ввс до 2010 :  count:2  textCnt:2
оао роствертол . ми 28н оснащен комплекс бортовой радиоэлектронный оборудование , обеспечивающий выполнение полёт ночь в сложный метеоусловия , поиск , обнаружение и распознавание наземный и воздушный целее , определение их координата и выдача целеуказание на наземный и воздушный командный пункт . ми 28н являюсь единственный в мир вертолетом , способный в автоматический режим осуществлять полю на высота от 5 метр с огибание рельеф местность как днем , так и ночь . новый боева вертолет способен развивать скорость до 300 км/ч и подкрадываться к противник на высота весь 5 10 метр , отличаюсь минимальный заметность для наземный средство поражение . в состав вооружение ми 28н вхожу сверхзвуковой высокоточный управляемый ракета атака , который поражаю танк с динамический защита бронь , а также воздушный целю и сверхзвуковой управляемый ракета игла класс воздух воздух . также вертолет снабжен пушечный установка нппу 28н калибр 30 мм . кабина экипаж полностью бронирован и выдерживаю прямой попадание бронебоен зажигательный пуля калибр 12 , 7 мм , и снаряд калибр 20 мм . как сообщаюсь ранее , планируюсь , что в чащу армейский авиация ввс до 2010 год поступил около 50 ночное всепогодный вертолетов ми :  count:2  textCnt:2
. его производство занимаюсь оао роствертол . ми 28н оснащен комплекс бортовой радиоэлектронный оборудование , обеспечивающий выполнение полёт ночь в сложный метеоусловия , поиск , обнаружение и распознавание наземный и воздушный целее , определение их координата и выдача целеуказание на наземный и воздушный командный пункт . ми 28н являюсь единственный в мир вертолетом , способный в автоматический режим осуществлять полю на высота от 5 метр с огибание рельеф местность как днем , так и ночь . новый боева вертолет способен развивать скорость до 300 км/ч и подкрадываться к противник на высота весь 5 10 метр , отличаюсь минимальный заметность для наземный средство поражение . в состав вооружение ми 28н вхожу сверхзвуковой высокоточный управляемый ракета атака , который поражаю танк с динамический защита бронь , а также воздушный целю и сверхзвуковой управляемый ракета игла класс воздух воздух . также вертолет снабжен пушечный установка нппу 28н калибр 30 мм . кабина экипаж полностью бронирован и выдерживаю прямой попадание бронебоен зажигательный пуля калибр 12 , 7 мм , и снаряд калибр 20 мм . как сообщаюсь ранее , планируюсь , что в чащу армейский авиация ввс до 2010 год поступил около 50 :  count:2  textCnt:2
