, что :  count:3180  textCnt:1255
, который :  count:1629  textCnt:957
. в :  count:1542  textCnt:957
. по :  count:987  textCnt:740
, в :  count:978  textCnt:694
, а :  count:970  textCnt:721
год . :  count:808  textCnt:605
, сообщаю :  count:733  textCnt:722
, и :  count:634  textCnt:500
. как :  count:620  textCnt:546
того , :  count:582  textCnt:474
, как :  count:559  textCnt:446
, но :  count:449  textCnt:375
год , :  count:448  textCnt:368
один из :  count:426  textCnt:358
по слово :  count:408  textCnt:347
, чтобы :  count:402  textCnt:333
, по :  count:342  textCnt:296
. на :  count:329  textCnt:289
. однако :  count:326  textCnt:294
. кроме :  count:324  textCnt:296
риа новость :  count:308  textCnt:297
на орбита :  count:289  textCnt:200
кроме того :  count:287  textCnt:265
а также :  count:282  textCnt:255
том , :  count:281  textCnt:243
, на :  count:270  textCnt:241
что в :  count:259  textCnt:232
в космос :  count:255  textCnt:181
из за :  count:254  textCnt:215
. он :  count:244  textCnt:204
на земля :  count:243  textCnt:198
, когда :  count:242  textCnt:218
, заявил :  count:241  textCnt:202
год назад :  count:234  textCnt:187
в время :  count:231  textCnt:193
новость . :  count:228  textCnt:221
. это :  count:224  textCnt:195
о это :  count:222  textCnt:216
, однако :  count:221  textCnt:200
на мкс :  count:219  textCnt:114
, чем :  count:213  textCnt:181
миллион доллар :  count:213  textCnt:169
. о :  count:213  textCnt:203
, то :  count:212  textCnt:186
, где :  count:212  textCnt:190
с помощь :  count:207  textCnt:180
, есть :  count:206  textCnt:191
по мнение :  count:206  textCnt:195
учёный , :  count:203  textCnt:178
тем , :  count:201  textCnt:183
в течение :  count:201  textCnt:184
. учёный :  count:200  textCnt:180
, сказал :  count:198  textCnt:152
на сайт :  count:196  textCnt:189
2005 год :  count:196  textCnt:163
в том :  count:195  textCnt:178
по его :  count:195  textCnt:173
пру это :  count:195  textCnt:183
заявил , :  count:192  textCnt:169
в настоящее :  count:191  textCnt:176
настоящее время :  count:191  textCnt:176
космический корабль :  count:187  textCnt:131
доллар . :  count:184  textCnt:154
, не :  count:183  textCnt:164
космический агентство :  count:181  textCnt:146
как сообщаю :  count:180  textCnt:177
слово , :  count:180  textCnt:161
считаю , :  count:179  textCnt:156
. пру :  count:178  textCnt:168
в ход :  count:177  textCnt:151
сообщаю риа :  count:177  textCnt:176
в результат :  count:175  textCnt:149
напомнил , :  count:168  textCnt:162
человек . :  count:166  textCnt:134
2004 год :  count:166  textCnt:143
, так :  count:162  textCnt:150
. этот :  count:162  textCnt:154
. напомнил :  count:157  textCnt:153
на борт :  count:157  textCnt:126
который есть :  count:153  textCnt:142
, передаю :  count:152  textCnt:150
ракета носитель :  count:152  textCnt:94
в частность :  count:151  textCnt:143
его слово :  count:150  textCnt:135
. согласно :  count:149  textCnt:140
космический аппарат :  count:146  textCnt:109
сообщаюсь на :  count:146  textCnt:145
по московский :  count:144  textCnt:116
. с :  count:143  textCnt:134
на территория :  count:142  textCnt:107
, 5 :  count:142  textCnt:128
2003 год :  count:142  textCnt:130
земля . :  count:142  textCnt:131
человек , :  count:141  textCnt:110
московский временю :  count:141  textCnt:113
, сообщаюсь :  count:140  textCnt:140
на марс :  count:140  textCnt:69
, если :  count:138  textCnt:127
вооружённый сила :  count:138  textCnt:93
. ранее :  count:133  textCnt:126
в ирак :  count:132  textCnt:61
в открытый :  count:132  textCnt:69
в рамка :  count:131  textCnt:116
космический станция :  count:131  textCnt:116
и в :  count:129  textCnt:122
частность , :  count:128  textCnt:120
о том :  count:128  textCnt:111
сша , :  count:128  textCnt:105
то , :  count:127  textCnt:124
. между :  count:125  textCnt:116
. если :  count:122  textCnt:113
. весь :  count:121  textCnt:113
между тем :  count:121  textCnt:111
. мы :  count:121  textCnt:101
вместе с :  count:119  textCnt:108
, с :  count:119  textCnt:108
в ближайший :  count:119  textCnt:110
. они :  count:119  textCnt:108
открытый космос :  count:117  textCnt:64
из они :  count:117  textCnt:113
. после :  count:116  textCnt:106
reuters . :  count:114  textCnt:112
корабль , :  count:113  textCnt:96
он . :  count:113  textCnt:102
, он :  count:112  textCnt:102
. для :  count:111  textCnt:104
и другой :  count:111  textCnt:102
утверждаю , :  count:111  textCnt:105
солнечный система :  count:111  textCnt:74
, это :  count:111  textCnt:107
не есть :  count:111  textCnt:94
земля , :  count:110  textCnt:98
год в :  count:109  textCnt:101
, считаю :  count:109  textCnt:105
. такой :  count:109  textCnt:106
страна , :  count:107  textCnt:93
после того :  count:106  textCnt:101
bbc news :  count:105  textCnt:102
планет . :  count:105  textCnt:85
в это :  count:104  textCnt:95
миллион год :  count:101  textCnt:60
в случай :  count:101  textCnt:89
планет , :  count:100  textCnt:80
полагаю , :  count:100  textCnt:92
космос . :  count:99  textCnt:79
. к :  count:99  textCnt:94
отметил , :  count:98  textCnt:94
международный космический :  count:98  textCnt:94
, поскольку :  count:98  textCnt:90
миллиард доллар :  count:97  textCnt:70
километр . :  count:97  textCnt:82
news . :  count:96  textCnt:93
на станция :  count:95  textCnt:75
министр оборона :  count:95  textCnt:75
назад . :  count:95  textCnt:89
может быть :  count:95  textCnt:85
система , :  count:95  textCnt:77
в который :  count:94  textCnt:89
в качество :  count:94  textCnt:88
связь с :  count:93  textCnt:83
который в :  count:93  textCnt:89
должен есть :  count:93  textCnt:84
в атмосфера :  count:93  textCnt:71
в конец :  count:93  textCnt:90
2 , :  count:92  textCnt:78
сша . :  count:92  textCnt:84
министерство оборона :  count:92  textCnt:78
nasa , :  count:92  textCnt:83
в область :  count:91  textCnt:78
, сообщил :  count:91  textCnt:90
, после :  count:91  textCnt:88
associated press :  count:91  textCnt:89
, из :  count:90  textCnt:83
. за :  count:90  textCnt:85
который , :  count:89  textCnt:81
несмотря на :  count:89  textCnt:86
страна . :  count:89  textCnt:78
для того :  count:89  textCnt:81
на поверхность :  count:89  textCnt:68
космос , :  count:88  textCnt:77
в четверг :  count:88  textCnt:82
не только :  count:88  textCnt:85
. com :  count:88  textCnt:87
с космодром :  count:87  textCnt:71
в этот :  count:87  textCnt:84
данные , :  count:86  textCnt:81
экипаж мкс :  count:86  textCnt:56
, отметил :  count:86  textCnt:82
россия и :  count:86  textCnt:63
1 , :  count:86  textCnt:77
2006 год :  count:85  textCnt:74
предполагаюсь , :  count:85  textCnt:82
сообщил , :  count:84  textCnt:75
в среда :  count:84  textCnt:78
метр . :  count:84  textCnt:68
в район :  count:84  textCnt:68
европейский космический :  count:83  textCnt:69
. но :  count:83  textCnt:79
а в :  count:83  textCnt:81
, к :  count:83  textCnt:79
не менее :  count:82  textCnt:80
, пишу :  count:81  textCnt:74
на высота :  count:81  textCnt:58
в понедельник :  count:81  textCnt:76
тысяча год :  count:80  textCnt:51
однако , :  count:80  textCnt:78
что на :  count:80  textCnt:72
. его :  count:80  textCnt:78
сообщаю агентство :  count:80  textCnt:80
корабль . :  count:79  textCnt:64
возможно , :  count:79  textCnt:77
пока не :  count:79  textCnt:76
за последний :  count:79  textCnt:70
орбита . :  count:79  textCnt:68
час . :  count:79  textCnt:73
это год :  count:78  textCnt:74
в свой :  count:78  textCnt:71
том число :  count:78  textCnt:75
центр управление :  count:78  textCnt:73
и не :  count:78  textCnt:74
так и :  count:77  textCnt:74
в мир :  count:77  textCnt:71
, учёный :  count:77  textCnt:73
аппарат , :  count:76  textCnt:66
по данные :  count:76  textCnt:70
в сша :  count:76  textCnt:62
мкс , :  count:76  textCnt:61
до сей :  count:76  textCnt:73
сей пора :  count:76  textCnt:73
россия , :  count:76  textCnt:67
военен морской :  count:75  textCnt:50
программа , :  count:75  textCnt:64
. первый :  count:75  textCnt:73
но и :  count:74  textCnt:73
, пока :  count:74  textCnt:65
сообщаю bbc :  count:74  textCnt:73
год на :  count:74  textCnt:67
спутник , :  count:74  textCnt:60
и , :  count:74  textCnt:69
в россия :  count:73  textCnt:67
управление полёт :  count:73  textCnt:68
. до :  count:73  textCnt:71
в вторник :  count:73  textCnt:70
как сообщил :  count:72  textCnt:68
на то :  count:72  textCnt:71
. теперь :  count:72  textCnt:69
из который :  count:72  textCnt:70
доллар , :  count:72  textCnt:61
назад , :  count:72  textCnt:70
, они :  count:72  textCnt:68
, о :  count:71  textCnt:71
для это :  count:71  textCnt:70
на этот :  count:71  textCnt:67
учёный из :  count:71  textCnt:67
сообщаю reuters :  count:71  textCnt:71
press . :  count:70  textCnt:69
на луна :  count:70  textCnt:39
в состав :  count:70  textCnt:64
показал , :  count:70  textCnt:67
нахожусь в :  count:69  textCnt:66
, расположенный :  count:69  textCnt:67
выход в :  count:69  textCnt:45
временю . :  count:69  textCnt:66
так называемый :  count:69  textCnt:68
оружие , :  count:68  textCnt:51
ожидаюсь , :  count:68  textCnt:67
километр в :  count:68  textCnt:57
он есть :  count:68  textCnt:67
только в :  count:68  textCnt:63
так как :  count:68  textCnt:63
прошлое год :  count:68  textCnt:66
и на :  count:68  textCnt:66
, способный :  count:67  textCnt:63
. предполагаюсь :  count:67  textCnt:65
весь , :  count:67  textCnt:64
станция , :  count:66  textCnt:63
глобальный потепление :  count:66  textCnt:42
могу быть :  count:66  textCnt:61
2007 год :  count:65  textCnt:58
агентство reuters :  count:65  textCnt:65
участие в :  count:65  textCnt:56
не смог :  count:65  textCnt:60
станция . :  count:65  textCnt:56
представляю себя :  count:65  textCnt:62
нахожусь на :  count:65  textCnt:64
время , :  count:64  textCnt:59
, находящийся :  count:64  textCnt:59
, говорю :  count:64  textCnt:59
километр , :  count:64  textCnt:58
два год :  count:63  textCnt:57
, возможно :  count:63  textCnt:61
ещё один :  count:63  textCnt:62
в интервью :  count:63  textCnt:58
на расстояние :  count:63  textCnt:57
спутник . :  count:63  textCnt:55
такой образ :  count:63  textCnt:61
в пятница :  count:62  textCnt:56
в котор :  count:62  textCnt:58
. представитель :  count:62  textCnt:59
. так :  count:62  textCnt:60
ещё в :  count:62  textCnt:60
с тем :  count:62  textCnt:60
в связь :  count:61  textCnt:56
из университет :  count:61  textCnt:60
случай , :  count:61  textCnt:54
, этот :  count:61  textCnt:59
, согласно :  count:61  textCnt:57
как сообщаюсь :  count:61  textCnt:60
система . :  count:61  textCnt:55
информация о :  count:61  textCnt:59
тихий океан :  count:60  textCnt:41
, такой :  count:60  textCnt:59
с половина :  count:60  textCnt:55
в начало :  count:60  textCnt:58
тысяча человек :  count:60  textCnt:50
спутник сатурн :  count:60  textCnt:38
эксперт , :  count:59  textCnt:56
так , :  count:59  textCnt:57
и его :  count:59  textCnt:56
мкс . :  count:59  textCnt:49
можно есть :  count:59  textCnt:53
мнение , :  count:59  textCnt:57
, сделанный :  count:59  textCnt:54
, пру :  count:58  textCnt:57
топливный бак :  count:58  textCnt:36
говорюсь в :  count:58  textCnt:52
аппарат . :  count:57  textCnt:48
полёт . :  count:57  textCnt:53
. новый :  count:57  textCnt:55
экспедиция на :  count:57  textCnt:49
ядерный оружие :  count:56  textCnt:28
который могу :  count:56  textCnt:53
это , :  count:56  textCnt:55
марс . :  count:56  textCnt:46
в один :  count:56  textCnt:54
агентство . :  count:56  textCnt:54
. тогда :  count:56  textCnt:55
известно , :  count:56  textCnt:55
исследование , :  count:56  textCnt:49
. из :  count:56  textCnt:56
подводной лодка :  count:56  textCnt:34
компания , :  count:56  textCnt:48
, один :  count:56  textCnt:53
световы год :  count:56  textCnt:44
шаттл discovery :  count:56  textCnt:44
километр от :  count:56  textCnt:55
заявил в :  count:55  textCnt:52
привёл к :  count:55  textCnt:51
2001 год :  count:55  textCnt:54
энергия , :  count:55  textCnt:48
com . :  count:55  textCnt:55
. тем :  count:55  textCnt:54
от земля :  count:55  textCnt:49
который должен :  count:54  textCnt:52
в будущее :  count:54  textCnt:52
ссылка на :  count:54  textCnt:54
метр , :  count:54  textCnt:50
примерно в :  count:54  textCnt:50
сообщаю associated :  count:54  textCnt:54
в год :  count:54  textCnt:46
процент . :  count:54  textCnt:44
должен быть :  count:53  textCnt:51
. сейчас :  count:53  textCnt:50
проект , :  count:53  textCnt:48
2010 год :  count:53  textCnt:43
слово представитель :  count:53  textCnt:51
сша и :  count:53  textCnt:49
. один :  count:53  textCnt:51
работа по :  count:52  textCnt:49
например , :  count:52  textCnt:52
самолёт , :  count:52  textCnt:45
мир . :  count:52  textCnt:50
. я :  count:52  textCnt:41
с ссылка :  count:52  textCnt:52
атмосфера . :  count:52  textCnt:47
корабль союз :  count:51  textCnt:45
сайт газета :  count:51  textCnt:51
в час :  count:51  textCnt:42
в центр :  count:51  textCnt:48
, причём :  count:51  textCnt:47
что этот :  count:51  textCnt:47
на вооружение :  count:51  textCnt:42
уж в :  count:51  textCnt:48
и есть :  count:51  textCnt:50
. запуск :  count:51  textCnt:48
космический челнок :  count:51  textCnt:41
российский военный :  count:51  textCnt:30
передаю риа :  count:51  textCnt:51
материал , :  count:50  textCnt:44
, за :  count:50  textCnt:47
это заявил :  count:50  textCnt:50
тысяча километр :  count:50  textCnt:45
. несмотря :  count:50  textCnt:50
специалист , :  count:50  textCnt:49
миллиард год :  count:50  textCnt:39
. она :  count:50  textCnt:46
технология , :  count:50  textCnt:47
звезда , :  count:50  textCnt:38
есть запущен :  count:50  textCnt:48
что это :  count:50  textCnt:47
баз в :  count:50  textCnt:34
подчеркнул , :  count:50  textCnt:46
а затем :  count:50  textCnt:49
сообщил в :  count:50  textCnt:48
. . :  count:50  textCnt:28
объявил о :  count:49  textCnt:48
пресс конференция :  count:49  textCnt:48
полёт , :  count:49  textCnt:46
изменение климат :  count:49  textCnt:34
, говорюсь :  count:49  textCnt:44
в февраль :  count:49  textCnt:48
место , :  count:49  textCnt:43
учёный считаю :  count:49  textCnt:46
в последний :  count:49  textCnt:48
. а :  count:49  textCnt:47
. последний :  count:49  textCnt:48
не удался :  count:48  textCnt:47
как и :  count:48  textCnt:45
из строя :  count:48  textCnt:37
, для :  count:48  textCnt:48
ракета , :  count:48  textCnt:38
х год :  count:48  textCnt:44
в nasa :  count:48  textCnt:42
, какой :  count:48  textCnt:44
то есть :  count:48  textCnt:44
к том :  count:48  textCnt:42
россия . :  count:48  textCnt:45
. первое :  count:48  textCnt:48
вод . :  count:47  textCnt:39
мкс в :  count:47  textCnt:44
. среди :  count:47  textCnt:47
, полученный :  count:47  textCnt:42
военный баз :  count:47  textCnt:34
спутник связь :  count:47  textCnt:39
ввс сша :  count:47  textCnt:33
после чего :  count:47  textCnt:46
nasa . :  count:47  textCnt:45
на поставка :  count:46  textCnt:29
2000 год :  count:46  textCnt:44
вод , :  count:46  textCnt:39
что он :  count:46  textCnt:42
times . :  count:46  textCnt:46
на международный :  count:46  textCnt:45
вещество , :  count:46  textCnt:43
мир , :  count:46  textCnt:43
2002 год :  count:46  textCnt:45
вывод , :  count:46  textCnt:44
сергей иван :  count:46  textCnt:41
к мкс :  count:46  textCnt:39
федеральный космический :  count:46  textCnt:36
на баз :  count:46  textCnt:43
союз тма :  count:46  textCnt:33
океан , :  count:46  textCnt:39
на планет :  count:46  textCnt:40
в пресс :  count:46  textCnt:44
. у :  count:45  textCnt:40
на пресс :  count:45  textCnt:45
марс , :  count:45  textCnt:35
сатурн . :  count:45  textCnt:29
в воздух :  count:45  textCnt:41
ранее , :  count:45  textCnt:42
предназначенный для :  count:45  textCnt:42
космодром байконур :  count:45  textCnt:43
образ , :  count:45  textCnt:44
, являюсь :  count:45  textCnt:43
пять год :  count:45  textCnt:43
что , :  count:45  textCnt:42
, предназначенный :  count:45  textCnt:42
океан . :  count:45  textCnt:42
в 2005 :  count:45  textCnt:42
в 2003 :  count:44  textCnt:43
. специалист :  count:44  textCnt:44
подготовка к :  count:44  textCnt:41
не могу :  count:44  textCnt:44
передаю агентство :  count:44  textCnt:42
животное , :  count:44  textCnt:34
сша в :  count:44  textCnt:39
отличие от :  count:44  textCnt:43
это в :  count:44  textCnt:43
на который :  count:44  textCnt:43
по их :  count:44  textCnt:43
условие , :  count:44  textCnt:40
с сторона :  count:44  textCnt:42
атмосфера , :  count:44  textCnt:41
пресс служба :  count:44  textCnt:36
сила , :  count:44  textCnt:37
считаюсь , :  count:44  textCnt:43
в прошлое :  count:44  textCnt:43
в отличие :  count:44  textCnt:43
проект . :  count:43  textCnt:43
с российский :  count:43  textCnt:35
вопрос о :  count:43  textCnt:38
3 , :  count:43  textCnt:39
область , :  count:43  textCnt:38
сатурн , :  count:43  textCnt:29
речь иду :  count:43  textCnt:40
работа в :  count:43  textCnt:39
быль обнаружен :  count:43  textCnt:40
. их :  count:43  textCnt:42
тело , :  count:43  textCnt:40
. вместе :  count:43  textCnt:42
свой очередь :  count:43  textCnt:43
тем не :  count:43  textCnt:43
в то :  count:43  textCnt:42
закон о :  count:42  textCnt:25
пресс релиз :  count:42  textCnt:39
с земля :  count:42  textCnt:39
отмечаю , :  count:42  textCnt:40
. российский :  count:42  textCnt:40
месяц . :  count:42  textCnt:37
агентство , :  count:42  textCnt:40
. стоимость :  count:42  textCnt:40
reuters , :  count:42  textCnt:39
связанный с :  count:42  textCnt:41
сообщаю газета :  count:42  textCnt:41
итар тасс :  count:42  textCnt:42
космический войско :  count:42  textCnt:32
, у :  count:42  textCnt:34
исследователь , :  count:42  textCnt:42
сказал он :  count:42  textCnt:40
на титан :  count:42  textCnt:23
объект , :  count:42  textCnt:38
а не :  count:41  textCnt:40
который не :  count:41  textCnt:40
шаттл . :  count:41  textCnt:38
, тогда :  count:41  textCnt:40
4 , :  count:41  textCnt:37
интерфакс . :  count:41  textCnt:41
оборона сша :  count:41  textCnt:34
скорее весь :  count:41  textCnt:41
больший часть :  count:41  textCnt:37
как заявил :  count:41  textCnt:40
2008 год :  count:41  textCnt:35
не было :  count:41  textCnt:39
полёт на :  count:41  textCnt:33
день . :  count:41  textCnt:41
мнение учёный :  count:41  textCnt:40
ближайший время :  count:41  textCnt:41
как в :  count:41  textCnt:38
в 2006 :  count:41  textCnt:35
в армия :  count:41  textCnt:23
орбита , :  count:41  textCnt:40
