Filtered by stability with threshold: 0.1
[, что ]   count:3180  textsCount:1255  stability:0.07358490566037736
[, который ]   count:1629  textsCount:957  stability:0.011663597298956415
[. в ]   count:1542  textsCount:957  stability:0.04474708171206226
[. по ]   count:987  textsCount:740  stability:0.028368794326241134
[, в ]   count:978  textsCount:694  stability:0.03680981595092025
[, а ]   count:970  textsCount:721  stability:0.03505154639175258
[год . ]   count:808  textsCount:605  stability:0.08292079207920793
[, сообщаю ]   count:733  textsCount:722  stability:0.03547066848567531
[, и ]   count:634  textsCount:500  stability:0.04416403785488959
[. как ]   count:620  textsCount:546  stability:0.0467741935483871
[, но ]   count:449  textsCount:375  stability:0.0334075723830735
[год , ]   count:448  textsCount:368  stability:0.07142857142857142
[, по ]   count:342  textsCount:296  stability:0.07017543859649122
[. на ]   count:329  textsCount:289  stability:0.05167173252279635
[. однако ]   count:326  textsCount:294  stability:0.06748466257668712
[. кроме ]   count:324  textsCount:296  stability:0.037037037037037035
[на орбита ]   count:289  textsCount:200  stability:0.058823529411764705
[, на ]   count:270  textsCount:241  stability:0.05555555555555555
[в космос ]   count:255  textsCount:181  stability:0.09411764705882353
[. он ]   count:244  textsCount:204  stability:0.07377049180327869
[на земля ]   count:243  textsCount:198  stability:0.05761316872427984
[, заявил ]   count:241  textsCount:202  stability:0.03734439834024896
[. это ]   count:224  textsCount:195  stability:0.03125
[, однако ]   count:221  textsCount:200  stability:0.09954751131221719
[, чем ]   count:213  textsCount:181  stability:0.0892018779342723
[миллион доллар ]   count:213  textsCount:169  stability:0.07511737089201878
[. о ]   count:213  textsCount:203  stability:0.0892018779342723
[, то ]   count:212  textsCount:186  stability:0.05660377358490566
[, где ]   count:212  textsCount:190  stability:0.08962264150943396
[, есть ]   count:206  textsCount:191  stability:0.038834951456310676
[. учёный ]   count:200  textsCount:180  stability:0.025
[, сказал ]   count:198  textsCount:152  stability:0.020202020202020204
[космический корабль ]   count:187  textsCount:131  stability:0.08021390374331551
[, не ]   count:183  textsCount:164  stability:0.01639344262295082
[. пру ]   count:178  textsCount:168  stability:0.056179775280898875
[, так ]   count:162  textsCount:150  stability:0.018518518518518517
[. этот ]   count:162  textsCount:154  stability:0.030864197530864196
[. напомнил ]   count:157  textsCount:153  stability:0.050955414012738856
[, передаю ]   count:152  textsCount:150  stability:0.02631578947368421
[ракета носитель ]   count:152  textsCount:94  stability:0.09210526315789473
[. согласно ]   count:149  textsCount:140  stability:0.06711409395973154
[по московский ]   count:144  textsCount:116  stability:0.0625
[. с ]   count:143  textsCount:134  stability:0.04895104895104895
[на территория ]   count:142  textsCount:107  stability:0.08450704225352113
[, сообщаюсь ]   count:140  textsCount:140  stability:0.03571428571428571
[на марс ]   count:140  textsCount:69  stability:0.07142857142857142
[. ранее ]   count:133  textsCount:126  stability:0.03007518796992481
[о том ]   count:128  textsCount:111  stability:0.0859375
[сша , ]   count:128  textsCount:105  stability:0.0859375
[. между ]   count:125  textsCount:116  stability:0.032
[. если ]   count:122  textsCount:113  stability:0.02459016393442623
[. весь ]   count:121  textsCount:113  stability:0.09917355371900827
[. мы ]   count:121  textsCount:101  stability:0.03305785123966942
[, с ]   count:119  textsCount:108  stability:0.03361344537815126
[. они ]   count:119  textsCount:108  stability:0.07563025210084033
[. после ]   count:116  textsCount:106  stability:0.07758620689655173
[, он ]   count:112  textsCount:102  stability:0.08928571428571429
[. для ]   count:111  textsCount:104  stability:0.036036036036036036
[и другой ]   count:111  textsCount:102  stability:0.036036036036036036
[, это ]   count:111  textsCount:107  stability:0.05405405405405406
[не есть ]   count:111  textsCount:94  stability:0.06306306306306306
[, считаю ]   count:109  textsCount:105  stability:0.027522935779816515
[. такой ]   count:109  textsCount:106  stability:0.06422018348623854
[страна , ]   count:107  textsCount:93  stability:0.056074766355140186
[миллион год ]   count:101  textsCount:60  stability:0.04950495049504951
[планет , ]   count:100  textsCount:80  stability:0.09
[. к ]   count:99  textsCount:94  stability:0.050505050505050504
[, поскольку ]   count:98  textsCount:90  stability:0.030612244897959183
[на станция ]   count:95  textsCount:75  stability:0.07368421052631578
[может быть ]   count:95  textsCount:85  stability:0.08421052631578947
[, сообщил ]   count:91  textsCount:90  stability:0.03296703296703297
[, из ]   count:90  textsCount:83  stability:0.044444444444444446
[. за ]   count:90  textsCount:85  stability:0.08888888888888889
[не только ]   count:88  textsCount:85  stability:0.045454545454545456
[экипаж мкс ]   count:86  textsCount:56  stability:0.046511627906976744
[, отметил ]   count:86  textsCount:82  stability:0.046511627906976744
[россия и ]   count:86  textsCount:63  stability:0.09302325581395349
[1 , ]   count:86  textsCount:77  stability:0.09302325581395349
[в район ]   count:84  textsCount:68  stability:0.07142857142857142
[. но ]   count:83  textsCount:79  stability:0.08433734939759036
[, к ]   count:83  textsCount:79  stability:0.04819277108433735
[, пишу ]   count:81  textsCount:74  stability:0.07407407407407407
[тысяча год ]   count:80  textsCount:51  stability:0.1
[. его ]   count:80  textsCount:78  stability:0.1
[в мир ]   count:77  textsCount:71  stability:0.06493506493506493
[, учёный ]   count:77  textsCount:73  stability:0.07792207792207792
[в сша ]   count:76  textsCount:62  stability:0.039473684210526314
[россия , ]   count:76  textsCount:67  stability:0.09210526315789473
[военен морской ]   count:75  textsCount:50  stability:0.06666666666666667
[спутник , ]   count:74  textsCount:60  stability:0.06756756756756757
[в россия ]   count:73  textsCount:67  stability:0.0821917808219178
[. до ]   count:73  textsCount:71  stability:0.0958904109589041
[. теперь ]   count:72  textsCount:69  stability:0.041666666666666664
[, они ]   count:72  textsCount:68  stability:0.05555555555555555
[, расположенный ]   count:69  textsCount:67  stability:0.043478260869565216
[так называемый ]   count:69  textsCount:68  stability:0.07246376811594203
[. предполагаюсь ]   count:67  textsCount:65  stability:0.05970149253731343
[не смог ]   count:65  textsCount:60  stability:0.06153846153846154
[нахожусь на ]   count:65  textsCount:64  stability:0.09230769230769231
[, находящийся ]   count:64  textsCount:59  stability:0.078125
[, говорю ]   count:64  textsCount:59  stability:0.03125
[километр , ]   count:64  textsCount:58  stability:0.09375
[спутник . ]   count:63  textsCount:55  stability:0.09523809523809523
[. представитель ]   count:62  textsCount:59  stability:0.06451612903225806
[. так ]   count:62  textsCount:60  stability:0.016129032258064516
[ещё в ]   count:62  textsCount:60  stability:0.0967741935483871
[, этот ]   count:61  textsCount:59  stability:0.09836065573770492
[, согласно ]   count:61  textsCount:57  stability:0.09836065573770492
[, такой ]   count:60  textsCount:59  stability:0.06666666666666667
[тысяча человек ]   count:60  textsCount:50  stability:0.1
[, пру ]   count:58  textsCount:57  stability:0.034482758620689655
[. новый ]   count:57  textsCount:55  stability:0.07017543859649122
[в один ]   count:56  textsCount:54  stability:0.05357142857142857
[исследование , ]   count:56  textsCount:49  stability:0.08928571428571429
[. из ]   count:56  textsCount:56  stability:0.05357142857142857
[, один ]   count:56  textsCount:53  stability:0.03571428571428571
[шаттл discovery ]   count:56  textsCount:44  stability:0.07142857142857142
[. тем ]   count:55  textsCount:54  stability:0.09090909090909091
[метр , ]   count:54  textsCount:50  stability:0.07407407407407407
[процент . ]   count:54  textsCount:44  stability:0.09259259259259259
[должен быть ]   count:53  textsCount:51  stability:0.09433962264150944
[. сейчас ]   count:53  textsCount:50  stability:0.03773584905660377
[проект , ]   count:53  textsCount:48  stability:0.09433962264150944
[. один ]   count:53  textsCount:51  stability:0.03773584905660377
[работа по ]   count:52  textsCount:49  stability:0.09615384615384616
[самолёт , ]   count:52  textsCount:45  stability:0.057692307692307696
[. я ]   count:52  textsCount:41  stability:0.038461538461538464
