. по слово :  count:343  textCnt:302
кроме того , :  count:286  textCnt:264
. кроме того :  count:283  textCnt:262
, а также :  count:279  textCnt:252
, что в :  count:259  textCnt:232
том , что :  count:234  textCnt:205
риа новость . :  count:218  textCnt:212
в настоящее время :  count:191  textCnt:176
заявил , что :  count:186  textCnt:165
считаю , что :  count:178  textCnt:155
сообщаю риа новость :  count:175  textCnt:174
. о это :  count:169  textCnt:168
. как сообщаю :  count:164  textCnt:162
. по его :  count:157  textCnt:145
. напомнил , :  count:157  textCnt:153
, сообщаю риа :  count:154  textCnt:154
по его слово :  count:150  textCnt:135
его слово , :  count:149  textCnt:134
по московский временю :  count:140  textCnt:112
. пру это :  count:140  textCnt:133
сообщаюсь на сайт :  count:140  textCnt:139
. по мнение :  count:137  textCnt:131
в частность , :  count:128  textCnt:120
о том , :  count:128  textCnt:111
. между тем :  count:119  textCnt:110
в открытый космос :  count:113  textCnt:62
, сообщаюсь на :  count:112  textCnt:112
утверждаю , что :  count:111  textCnt:105
того , как :  count:105  textCnt:101
то , что :  count:101  textCnt:98
миллион доллар . :  count:100  textCnt:87
, который есть :  count:99  textCnt:96
отметил , что :  count:97  textCnt:93
напомнил , что :  count:96  textCnt:91
. в настоящее :  count:96  textCnt:93
международный космический станция :  count:95  textCnt:91
полагаю , что :  count:93  textCnt:86
между тем , :  count:93  textCnt:85
в том , :  count:90  textCnt:86
, в который :  count:90  textCnt:85
того , чтобы :  count:90  textCnt:81
после того , :  count:89  textCnt:86
сообщил , что :  count:82  textCnt:73
. в ход :  count:82  textCnt:75
для того , :  count:81  textCnt:73
год назад . :  count:80  textCnt:74
в том число :  count:78  textCnt:75
, что на :  count:78  textCnt:70
. в частность :  count:77  textCnt:75
предполагаюсь , что :  count:76  textCnt:74
до сей пора :  count:76  textCnt:73
, а в :  count:75  textCnt:74
, но и :  count:74  textCnt:73
, в том :  count:74  textCnt:72
центр управление полёт :  count:72  textCnt:68
европейский космический агентство :  count:71  textCnt:64
bbc news . :  count:70  textCnt:67
год . в :  count:69  textCnt:68
associated press . :  count:69  textCnt:68
. как сообщил :  count:69  textCnt:65
, по мнение :  count:67  textCnt:64
того , что :  count:67  textCnt:63
показал , что :  count:67  textCnt:64
2005 год . :  count:67  textCnt:64
на то , :  count:67  textCnt:66
, который , :  count:66  textCnt:62
, так и :  count:65  textCnt:63
. предполагаюсь , :  count:64  textCnt:62
, который в :  count:63  textCnt:62
сообщаю reuters . :  count:63  textCnt:63
, в частность :  count:63  textCnt:63
, сообщаю reuters :  count:63  textCnt:63
, по слово :  count:62  textCnt:60
сообщаю bbc news :  count:62  textCnt:61
, в котор :  count:61  textCnt:57
, так как :  count:61  textCnt:58
год назад , :  count:60  textCnt:58
в связь с :  count:60  textCnt:55
миллион год назад :  count:59  textCnt:41
, возможно , :  count:59  textCnt:58
. в результат :  count:58  textCnt:57
. по данные :  count:57  textCnt:55
. однако , :  count:57  textCnt:56
. com . :  count:55  textCnt:55
сообщаю associated press :  count:54  textCnt:54
, сообщаю bbc :  count:54  textCnt:53
2004 год . :  count:54  textCnt:52
. как сообщаюсь :  count:53  textCnt:52
на земля . :  count:53  textCnt:51
с ссылка на :  count:52  textCnt:52
год , когда :  count:52  textCnt:52
тем , что :  count:52  textCnt:52
, что этот :  count:51  textCnt:47
передаю риа новость :  count:51  textCnt:51
на сайт газета :  count:50  textCnt:50
о это заявил :  count:50  textCnt:50
. несмотря на :  count:50  textCnt:50
по слово представитель :  count:50  textCnt:48
подчеркнул , что :  count:50  textCnt:46
, а затем :  count:50  textCnt:49
, что это :  count:49  textCnt:46
километр в час :  count:48  textCnt:40
миллиард доллар . :  count:48  textCnt:44
московский временю . :  count:48  textCnt:45
с тем , :  count:48  textCnt:46
, который должен :  count:48  textCnt:46
. в время :  count:47  textCnt:46
, который могу :  count:47  textCnt:45
, после чего :  count:47  textCnt:46
миллион доллар , :  count:45  textCnt:42
, что он :  count:44  textCnt:40
в космос , :  count:44  textCnt:41
, передаю риа :  count:44  textCnt:44
. так , :  count:43  textCnt:42
, что , :  count:43  textCnt:40
в 2003 год :  count:43  textCnt:42
тысяча год назад :  count:43  textCnt:31
. вместе с :  count:43  textCnt:42
в свой очередь :  count:43  textCnt:43
тем не менее :  count:43  textCnt:43
, один из :  count:43  textCnt:42
, на который :  count:43  textCnt:42
. один из :  count:43  textCnt:41
, предназначенный для :  count:43  textCnt:40
в отличие от :  count:43  textCnt:42
, сообщаю associated :  count:42  textCnt:42
, передаю агентство :  count:42  textCnt:40
в космос . :  count:41  textCnt:37
2003 год . :  count:41  textCnt:40
на орбита . :  count:41  textCnt:35
отмечаю , что :  count:41  textCnt:39
, говорюсь в :  count:41  textCnt:36
считаюсь , что :  count:41  textCnt:40
. в течение :  count:41  textCnt:40
в ближайший время :  count:40  textCnt:40
сообщаю агентство reuters :  count:40  textCnt:40
по мнение учёный :  count:40  textCnt:39
ожидаюсь , что :  count:40  textCnt:40
такой образ , :  count:40  textCnt:39
, в результат :  count:40  textCnt:38
, а не :  count:40  textCnt:39
выход в открытый :  count:39  textCnt:31
солнечный система , :  count:39  textCnt:35
мнение учёный , :  count:39  textCnt:38
на пресс конференция :  count:39  textCnt:39
. тем не :  count:39  textCnt:39
