Filtered by stability with threshold: 0.1
[. по слово ]   count:343  textsCount:302  stability:0.029154518950437316
[. кроме того ]   count:283  textsCount:262  stability:0.0353356890459364
[, а также ]   count:279  textsCount:252  stability:0.017921146953405017
[, что в ]   count:259  textsCount:232  stability:0.08108108108108109
[. о это ]   count:169  textsCount:168  stability:0.09467455621301775
[. как сообщаю ]   count:164  textsCount:162  stability:0.042682926829268296
[. по его ]   count:157  textsCount:145  stability:0.01910828025477707
[. напомнил , ]   count:157  textsCount:153  stability:0.050955414012738856
[, сообщаю риа ]   count:154  textsCount:154  stability:0.045454545454545456
[по московский временю ]   count:140  textsCount:112  stability:0.06428571428571428
[. пру это ]   count:140  textsCount:133  stability:0.06428571428571428
[. по мнение ]   count:137  textsCount:131  stability:0.043795620437956206
[о том , ]   count:128  textsCount:111  stability:0.0859375
[. между тем ]   count:119  textsCount:110  stability:0.01680672268907563
[, сообщаюсь на ]   count:112  textsCount:112  stability:0.044642857142857144
[миллион доллар . ]   count:100  textsCount:87  stability:0.07
[, который есть ]   count:99  textsCount:96  stability:0.050505050505050504
[. в настоящее ]   count:96  textsCount:93  stability:0.052083333333333336
[, в который ]   count:90  textsCount:85  stability:0.06666666666666667
[. в ход ]   count:82  textsCount:75  stability:0.04878048780487805
[. в частность ]   count:77  textsCount:75  stability:0.025974025974025976
[, а в ]   count:75  textsCount:74  stability:0.09333333333333334
[, но и ]   count:74  textsCount:73  stability:0.02702702702702703
[, в том ]   count:74  textsCount:72  stability:0.04054054054054054
[, который , ]   count:66  textsCount:62  stability:0.06060606060606061
[, так и ]   count:65  textsCount:63  stability:0.03076923076923077
[. предполагаюсь , ]   count:64  textsCount:62  stability:0.0625
[, который в ]   count:63  textsCount:62  stability:0.031746031746031744
[, в частность ]   count:63  textsCount:63  stability:0.09523809523809523
[, сообщаю reuters ]   count:63  textsCount:63  stability:0.06349206349206349
[, так как ]   count:61  textsCount:58  stability:0.04918032786885246
[миллион год назад ]   count:59  textsCount:41  stability:0.06779661016949153
[. в результат ]   count:58  textsCount:57  stability:0.05172413793103448
[. по данные ]   count:57  textsCount:55  stability:0.08771929824561403
[. однако , ]   count:57  textsCount:56  stability:0.07017543859649122
[, сообщаю bbc ]   count:54  textsCount:53  stability:0.05555555555555555
[. как сообщаюсь ]   count:53  textsCount:52  stability:0.03773584905660377
[на земля . ]   count:53  textsCount:51  stability:0.07547169811320754
[, что этот ]   count:51  textsCount:47  stability:0.09803921568627451
[. несмотря на ]   count:50  textsCount:50  stability:0.06
[, а затем ]   count:50  textsCount:49  stability:0.04
[, который должен ]   count:48  textsCount:46  stability:0.08333333333333333
[. в время ]   count:47  textsCount:46  stability:0.0425531914893617
[, который могу ]   count:47  textsCount:45  stability:0.0425531914893617
[, после чего ]   count:47  textsCount:46  stability:0.06382978723404255
[миллион доллар , ]   count:45  textsCount:42  stability:0.08888888888888889
[, что он ]   count:44  textsCount:40  stability:0.09090909090909091
[в космос , ]   count:44  textsCount:41  stability:0.09090909090909091
[, передаю риа ]   count:44  textsCount:44  stability:0.06818181818181818
[. так , ]   count:43  textsCount:42  stability:0.023255813953488372
[, что , ]   count:43  textsCount:40  stability:0.09302325581395349
[. вместе с ]   count:43  textsCount:42  stability:0.046511627906976744
[, один из ]   count:43  textsCount:42  stability:0.046511627906976744
[, на который ]   count:43  textsCount:42  stability:0.06976744186046512
[. один из ]   count:43  textsCount:41  stability:0.046511627906976744
[, предназначенный для ]   count:43  textsCount:40  stability:0.06976744186046512
[, сообщаю associated ]   count:42  textsCount:42  stability:0.07142857142857142
[, передаю агентство ]   count:42  textsCount:40  stability:0.07142857142857142
[в космос . ]   count:41  textsCount:37  stability:0.07317073170731707
[, говорюсь в ]   count:41  textsCount:36  stability:0.04878048780487805
[, в результат ]   count:40  textsCount:38  stability:0.075
[, а не ]   count:40  textsCount:39  stability:0.1
[, сказал он ]   count:39  textsCount:38  stability:0.05128205128205128
[. такой образ ]   count:36  textsCount:35  stability:0.05555555555555555
[, несмотря на ]   count:34  textsCount:32  stability:0.058823529411764705
[год , а ]   count:34  textsCount:32  stability:0.08823529411764706
[на земля , ]   count:34  textsCount:33  stability:0.08823529411764706
[. дело в ]   count:33  textsCount:33  stability:0.030303030303030304
[. для это ]   count:32  textsCount:32  stability:0.0625
[в 2006 год ]   count:32  textsCount:28  stability:0.09375
[в 2007 год ]   count:31  textsCount:28  stability:0.06451612903225806
[. планируюсь , ]   count:30  textsCount:30  stability:0.06666666666666667
[. из за ]   count:30  textsCount:30  stability:0.03333333333333333
[, из за ]   count:30  textsCount:28  stability:0.1
[, расположенный в ]   count:29  textsCount:28  stability:0.06896551724137931
[, который не ]   count:29  textsCount:28  stability:0.06896551724137931
[. как заявил ]   count:29  textsCount:29  stability:0.034482758620689655
[. по их ]   count:28  textsCount:27  stability:0.07142857142857142
[. по информация ]   count:28  textsCount:28  stability:0.07142857142857142
[, сообщаюсь в ]   count:27  textsCount:27  stability:0.07407407407407407
[. он также ]   count:27  textsCount:27  stability:0.07407407407407407
[. как пишу ]   count:27  textsCount:27  stability:0.07407407407407407
[год , сообщаю ]   count:26  textsCount:26  stability:0.07692307692307693
[. что касаюсь ]   count:26  textsCount:26  stability:0.07692307692307693
[. в случай ]   count:26  textsCount:26  stability:0.07692307692307693
[, и в ]   count:25  textsCount:25  stability:0.08
[, скорее весь ]   count:24  textsCount:24  stability:0.041666666666666664
[, пишу в ]   count:24  textsCount:24  stability:0.041666666666666664
[. учёный считаю ]   count:24  textsCount:24  stability:0.041666666666666664
[. в качество ]   count:24  textsCount:24  stability:0.041666666666666664
[, заявил , ]   count:24  textsCount:24  stability:0.041666666666666664
[, сообщаю интерфакс ]   count:24  textsCount:24  stability:0.08333333333333333
[, состоящий из ]   count:24  textsCount:23  stability:0.08333333333333333
[, в ход ]   count:24  textsCount:24  stability:0.08333333333333333
[, на котор ]   count:23  textsCount:23  stability:0.08695652173913043
[, заявил представитель ]   count:23  textsCount:23  stability:0.08695652173913043
[, так что ]   count:23  textsCount:21  stability:0.043478260869565216
[. по оценка ]   count:23  textsCount:22  stability:0.08695652173913043
[, но в ]   count:23  textsCount:23  stability:0.043478260869565216
[. после это ]   count:22  textsCount:22  stability:0.045454545454545456
[. . . ]   count:22  textsCount:22  stability:0.09090909090909091
[. как ожидаюсь ]   count:22  textsCount:21  stability:0.09090909090909091
[, который способен ]   count:22  textsCount:19  stability:0.09090909090909091
[может привести к ]   count:22  textsCount:22  stability:0.09090909090909091
