, сообщаю риа новость . :  count:149  textCnt:149
. по его слово , :  count:129  textCnt:120
, сообщаю associated press . :  count:42  textCnt:42
, передаю риа новость . :  count:42  textCnt:42
, сообщаю bbc news . :  count:38  textCnt:37
, сообщаюсь на сайт газета :  count:37  textCnt:37
. кроме того , в :  count:36  textCnt:36
. тем не менее , :  count:34  textCnt:34
. дело в том , :  count:33  textCnt:33
дело в том , что :  count:32  textCnt:32
несмотря на то , что :  count:32  textCnt:31
. как сообщаюсь на сайт :  count:30  textCnt:29
. по мнение учёный , :  count:28  textCnt:27
пришёл к вывод , что :  count:27  textCnt:26
как сообщаю агентство reuters , :  count:24  textCnt:24
на сайт bbc news . :  count:23  textCnt:23
до тот пора , пока :  count:23  textCnt:20
сообщаю риа новость . в :  count:23  textCnt:23
. по его мнение , :  count:23  textCnt:23
сообщаюсь на сайт bbc news :  count:22  textCnt:22
. учёный считаю , что :  count:22  textCnt:22
. напомнил , что в :  count:21  textCnt:21
, сообщаюсь на сайт bbc :  count:21  textCnt:21
. как сообщаю агентство reuters :  count:21  textCnt:21
как сообщаю bbc news , :  count:20  textCnt:20
. как сообщаю bbc news :  count:20  textCnt:20
. несмотря на то , :  count:20  textCnt:20
, в том число и :  count:19  textCnt:19
. между тем , как :  count:19  textCnt:19
, по его слово , :  count:19  textCnt:19
, сообщаюсь в пресс релиз :  count:18  textCnt:18
. вместе с тем , :  count:18  textCnt:18
. как сообщаюсь ранее , :  count:18  textCnt:18
по его слово , в :  count:18  textCnt:18
, в свой очередь , :  count:17  textCnt:17
риа новость . о это :  count:16  textCnt:16
. по слово учёный , :  count:16  textCnt:16
. учёный полагаю , что :  count:15  textCnt:14
в том случай , если :  count:15  textCnt:12
. между тем , по :  count:14  textCnt:14
, в то время как :  count:14  textCnt:14
сообщаю корреспондент лента . ру :  count:14  textCnt:14
, сообщаю агентство reuters . :  count:14  textCnt:14
министр оборона рф сергей иван :  count:14  textCnt:14
выход в открытый космос . :  count:14  textCnt:12
. в то же время :  count:14  textCnt:14
. ранее сообщаюсь , что :  count:14  textCnt:14
риа новость с ссылка на :  count:14  textCnt:14
как сообщаю риа новость , :  count:14  textCnt:14
. как сообщаю риа новость :  count:14  textCnt:14
сообщаю риа новость . о :  count:14  textCnt:14
. кроме того , на :  count:13  textCnt:13
. он отметил , что :  count:13  textCnt:13
. по их слово , :  count:13  textCnt:13
, сообщаю defense industry daily :  count:13  textCnt:13
салижана шарипов и лероя чиао :  count:12  textCnt:12
сообщаю риа новость . по :  count:12  textCnt:12
. по их мнение , :  count:12  textCnt:12
, сообщаю итар тасс . :  count:12  textCnt:12
. по слово один из :  count:12  textCnt:12
из за того , что :  count:12  textCnt:12
. для того , чтобы :  count:12  textCnt:11
. кроме того , по :  count:12  textCnt:12
сообщаю defense industry daily . :  count:12  textCnt:12
. в настоящее время в :  count:11  textCnt:11
, по мнение учёный , :  count:11  textCnt:11
. после того , как :  count:11  textCnt:11
как сообщаю associated press , :  count:11  textCnt:11
световы год от земля . :  count:11  textCnt:11
. он добавил , что :  count:11  textCnt:10
, передаю агентство риа новость :  count:11  textCnt:11
как сообщаюсь на сайт газета :  count:11  textCnt:11
, сообщаю universe today . :  count:11  textCnt:11
, что в настоящее время :  count:11  textCnt:11
, сообщаю new scientist . :  count:11  textCnt:11
передаю агентство риа новость . :  count:11  textCnt:11
новость . о это заявил :  count:11  textCnt:11
привёл к том , что :  count:11  textCnt:10
. как сообщаю associated press :  count:11  textCnt:11
, передаю агентство reuters . :  count:11  textCnt:11
год . кроме того , :  count:10  textCnt:10
по аэронавтика и космический исследование :  count:10  textCnt:10
аэронавтика и исследование космический пространство :  count:10  textCnt:10
, передаю агентство associated press :  count:10  textCnt:10
. как отмечаюсь на сайт :  count:10  textCnt:10
. по предварительный данные , :  count:10  textCnt:10
. в свой очередь , :  count:10  textCnt:10
. учёный утверждаю , что :  count:10  textCnt:10
. о это , как :  count:10  textCnt:10
. кроме того , он :  count:10  textCnt:10
после того , как в :  count:10  textCnt:9
свидетельствую о том , что :  count:10  textCnt:9
группа российский войско в закавказье :  count:10  textCnt:10
по аэронавтика и исследование космический :  count:10  textCnt:10
, несмотря на то , :  count:10  textCnt:9
в том , что в :  count:9  textCnt:9
, сообщаю корреспондент лента . :  count:9  textCnt:9
заключаюсь в том , что :  count:9  textCnt:9
ракета носитель среднее класс молния :  count:9  textCnt:9
, в первый очередь , :  count:9  textCnt:9
военный спутник связь молния 3к :  count:9  textCnt:8
о это , как передаю :  count:9  textCnt:9
молния м с военный спутник :  count:9  textCnt:8
риа новость . по слово :  count:9  textCnt:9
. по мнение исследователь , :  count:9  textCnt:9
сообщаю риа новость . как :  count:9  textCnt:9
по его слово , на :  count:9  textCnt:9
выход в открытый космос , :  count:9  textCnt:9
риа новость . как сообщил :  count:9  textCnt:9
за предел солнечный система . :  count:9  textCnt:9
с космодром на мыс канаверал :  count:9  textCnt:8
. о это заявил в :  count:9  textCnt:9
корреспондент лента . ру . :  count:9  textCnt:9
. между тем , в :  count:9  textCnt:9
газета new york times . :  count:9  textCnt:9
сообщаю риа новость с ссылка :  count:9  textCnt:9
космический корабль союз тма 5 :  count:9  textCnt:9
носитель среднее класс молния м :  count:9  textCnt:9
передаю агентство associated press . :  count:9  textCnt:9
. учёный предполагаю , что :  count:9  textCnt:9
. в настоящее время на :  count:9  textCnt:9
только в том случай , :  count:8  textCnt:6
по московский временю в вторник :  count:8  textCnt:8
. несмотря на это , :  count:8  textCnt:8
связь с тем , что :  count:8  textCnt:8
. в частность , он :  count:8  textCnt:8
, по его мнение , :  count:8  textCnt:8
сообщаюсь на сайт space . :  count:8  textCnt:8
. о том , что :  count:8  textCnt:8
сообщаюсь на сайт газета guardian :  count:8  textCnt:8
агентство по аэронавтика и исследование :  count:8  textCnt:8
сообщаюсь на сайт газета the :  count:8  textCnt:8
состою в том , что :  count:8  textCnt:8
м с военный спутник связь :  count:8  textCnt:8
сергей иван заявил , что :  count:8  textCnt:8
в связь с тем , :  count:8  textCnt:8
среднее класс молния м с :  count:8  textCnt:8
риа новость , о это :  count:8  textCnt:8
, который в настоящее время :  count:8  textCnt:8
. не исключён , что :  count:8  textCnt:8
. это означаю , что :  count:8  textCnt:8
в февраль 2003 год . :  count:8  textCnt:8
стартовый платформа и командный судно :  count:8  textCnt:4
по московский временю с космодром :  count:8  textCnt:8
, на борт который нахожусь :  count:8  textCnt:8
. предполагаюсь , что в :  count:8  textCnt:8
